site,hemisphere,area
C24_1_1,L,superficial
C24_2_1,L,intermediate
C24_2_2,L,intermediate
C24_3_1,R,superficial
C29_1_1,L,superficial
C29_2_1,L,superficial
C29_3_1,R,superficial
C31_1_1,L,deep
C31_2_1,L,deep
C41_1_1,L,deep
C41_2_1,L,deep
C41_3_1,L,deep
C41_4_1,R,intermediate
C41_5_1,R,intermediate
C41_6_1,R,deep
C41_7_1,R,superficial
C45_2_1,L,superficial
C45_3_1,L,intermediate
C45_4_1,R,superficial
C42_1_1,L,superficial
C42_2_1,L,superficial
C42_3_1,L,intermediate
C42_4_1,R,superficial
C42_5_1,R,intermediate
C44_2_1,L,intermediate
C44_3_1,L,deep
C44_4_1,R,intermediate
C44_5_1,R,intermediate
C44_6_1,R,deep
C60_2_1,R,intermediate
C60_3_1,R,superficial
C60_4_1,R,intermediate
P158_1_1,L,superficial
P158_2_1,L,superficial
P158_3_1,L,intermediate
P158_4_1,R,superficial
R227_2_1,L,intermediate
R227_4_1,R,superficial
R229_1_1,L,intermediate
R229_2_1,L,deep
R229_3_1,R,intermediate
R229_4_1,R,deep
C105_1_1,R,intermediate
C105_2_1,R,superficial
C105_3_1,R,superficial
C105_4_1,R,superficial
C104_1_1,L,deep
C104_2_1,L,deep
C104_3_1,L,deep
C104_4_1,L,intermediate
C195_1_1,R,deep
C194_2_1,R,deep
C194_3_1,R,intermediate
C294_1_1,R,deep
C294_2_1,R,deep
C294_3_1,R,deep
Rb291_1_1,L,deep
Rb291_2_1,L,deep
Rb291_3_1,L,deep
